PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
1,3/10/2020,1:08:29 PM,1,1,"Valdez, Framber",664285,Left,HOU,"Nimmo, Brandon",607043,Left,NYM,Undefined,1,Top,0,0,0,Undefined,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,93.1358828,-2.046684873,1.977681625,2164.450953,101.0095098,9:15,5.950087287,-1.073810194,6.404972624,-28.89923547,2.758805428,-14.33325284,1.658185637,-0.44925737,85.0985796,-7.512494508,-0.753172232,0.404961313,,,,,,,,,,,,8.473465404,2.12531571,0.939043905,50,5.790376881,-4.239804004,-135.4863612,-5.729117697,15.64993408,31.36499828,-28.24873003,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,c17bcdfe-62f1-11ea-bc5a-d43b046e0121
2,3/10/2020,1:08:54 PM,1,2,"Valdez, Framber",664285,Left,HOU,"Nimmo, Brandon",607043,Left,NYM,Undefined,1,Top,0,0,1,Undefined,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,93.74487646,-1.951124311,1.298650919,2283.868859,115.4045915,9:45,6.025682136,-0.979807127,6.129670659,-25.47304695,5.688758943,-12.03971206,2.098540914,-0.782699447,86.66376259,-6.717296967,-0.968231382,0.401774924,,,,,,,,,,,,6.868070614,3.586470665,0.887083821,50,5.863405665,-2.697553577,-136.4910717,-5.490202862,13.0605584,27.77969683,-25.35389306,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,d25628a1-62f1-11ea-bc5a-d43b046e0121
3,3/10/2020,1:09:22 PM,1,3,"Valdez, Framber",664285,Left,HOU,"Nimmo, Brandon",607043,Left,NYM,Undefined,1,Top,0,0,2,Undefined,Other,BallCalled,Undefined,Undefined,Undefined,0,0,,89.09640057,0.862395977,0.849640945,1731.152455,54.87017612,7:45,5.987927578,-0.971624303,6.117768329,-39.84189444,-5.386534077,-7.609745271,3.465121945,-0.820298639,82.43107335,-6.606694458,-0.582580977,0.422473932,,,,,,,,,,,,4.344682119,-3.141534519,0.91067138,50,6.032829408,-1.685954538,-129.8049511,0.702465026,7.476436428,24.9854595,-37.58007884,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,e307fee6-62f1-11ea-bc5a-d43b046e0121
4,3/10/2020,1:09:45 PM,1,4,"Valdez, Framber",664285,Left,HOU,"Nimmo, Brandon",607043,Left,NYM,Undefined,1,Top,0,1,2,Undefined,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,80.07872107,1.948428867,0.409020985,3084.526831,308.1148394,4:15,5.953453755,-1.051036643,6.215767544,-55.97248542,-13.16770229,16.73313842,3.087626644,0.720799994,74.03221144,-8.561912438,3.570974658,0.47088805,81.51045614,-31.16228437,-4.558165744,,,,,4.525129692,3.95476993,-15.26766225,0.045449829,-9.016228047,-7.719229536,1.012027986,50,6.07097027,-1.292798216,-116.5835367,2.425778597,-12.42252117,21.69487012,-42.80957062,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,ee391c93-62f1-11ea-bc5a-d43b046e0121
5,3/10/2020,1:10:27 PM,2,1,"Valdez, Framber",664285,Left,HOU,"Cano, Robinson",429664,Left,NYM,Undefined,1,Top,1,0,0,Undefined,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,95.08689359,-1.653753375,1.711002868,2337.935239,154.5664747,11:15,6.086006665,-0.968431505,6.09108633,-19.89901042,10.11116095,-4.821802797,2.897138139,0.212680959,88.66422588,-5.361468028,0.809382587,0.394280915,102.5924935,-9.925824655,-28.18083364,,,,,15.19618474,13.72704347,-28.60283957,0.102670288,2.984229134,5.831243076,0.839361285,50,5.947950583,-3.974561692,-138.5454456,-4.678604036,5.918121396,25.06212159,-20.60992165,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,091118fb-62f2-11ea-bc5a-d43b046e0121
6,3/10/2020,1:11:12 PM,3,1,"Valdez, Framber",664285,Left,HOU,"Davis, J.D.",605204,Right,NYM,Undefined,1,Top,2,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.12794289,-2.157710509,2.017927571,2201.097831,119.63589,10:00,6.09733269,-1.112764281,6.160453586,-23.44771615,7.658018623,-13.51231874,2.148182443,-0.37413799,86.34739291,-6.564697138,-0.53630351,0.401413293,,,,,,,,,,,,7.91505531,4.766341277,0.96686699,50,5.921675795,-4.382979563,-136.9218788,-5.92783988,15.03530219,30.05355272,-23.11998909,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,23e915a0-62f2-11ea-bc5a-d43b046e0121
7,3/10/2020,1:11:29 PM,3,2,"Valdez, Framber",664285,Left,HOU,"Davis, J.D.",605204,Right,NYM,Undefined,1,Top,2,0,1,Undefined,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,94.38004323,-1.58866239,1.695556865,2203.638849,106.0603416,9:30,6.052690162,-0.88765334,6.215840504,-27.0509083,3.834556237,-13.4205985,2.331579383,-0.441098328,86.52629217,-6.682848253,-0.846166459,0.399989497,,,,,,,,,,,,7.801336318,2.539312342,0.767614199,50,5.920240358,-3.631528643,-137.3561606,-4.686853581,14.88939679,30.70339656,-27.32759309,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,2cdbbf56-62f2-11ea-bc5a-d43b046e0121
8,3/10/2020,1:12:00 PM,3,3,"Valdez, Framber",664285,Left,HOU,"Davis, J.D.",605204,Right,NYM,Undefined,1,Top,2,0,2,Undefined,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,89.87468723,-1.478070006,1.074354875,1717.473153,90.47521815,9:00,5.926179871,-0.874939547,6.031018287,-34.1022292,0.075632973,-12.99297893,1.715207798,-0.962804013,82.90203111,-7.854163206,-1.374080772,0.420769222,,,,,,,,,,,,7.329272819,0.441035675,0.798232767,50,5.792282468,-2.03728596,-130.8324385,-4.468954447,12.73639317,26.93826898,-31.40764186,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,3ec1124c-62f2-11ea-bc5a-d43b046e0121
9,3/10/2020,1:14:45 PM,1,1,"Porcello, Rick",519144,Right,NYM,"Straw, Myles",664702,Right,HOU,Undefined,1,Bottom,0,0,0,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,89.51945447,-3.230718039,-2.80500273,2312.752908,235.9913691,1:45,6.414842839,1.389814036,6.230496324,-21.97870146,12.23224699,18.17683304,1.596403201,0.31503729,82.61324938,-7.346067942,0.62403651,0.420972838,,,,,,,,,,,,-10.63445824,7.505481328,-1.189817777,50,6.162555228,5.814902426,-130.0931167,-8.028150044,-18.34750343,25.57181261,-19.22493152,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,a12e5b28-62f2-11ea-bc5a-d43b046e0121
10,3/10/2020,1:15:00 PM,1,2,"Porcello, Rick",519144,Right,NYM,"Straw, Myles",664702,Right,HOU,Undefined,1,Bottom,0,1,0,Undefined,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.81006934,-3.000759141,-2.983299459,2230.62993,236.8322734,2:00,6.445409404,1.338514188,6.263938046,-24.01752946,10.566942,16.21760158,1.671393497,-0.062677347,82.30024179,-7.492293011,0.071297479,0.423264739,,,,,,,,,,,,-9.580227524,6.50460167,-1.125868119,50,6.211153183,6.235246744,-129.1099986,-7.507950573,-16.34608233,24.15392098,-21.07569477,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,aa2104d3-62f2-11ea-bc5a-d43b046e0121
11,3/10/2020,1:15:16 PM,1,3,"Porcello, Rick",519144,Right,NYM,"Straw, Myles",664702,Right,HOU,Undefined,1,Bottom,0,1,1,Undefined,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.42029611,-2.90252127,-3.228809197,2217.987041,236.0107066,1:45,6.449379865,1.359570748,6.304165079,-22.51234715,10.96024692,16.30246348,1.893140156,-0.259270857,83.32072281,-7.130161492,-0.149064585,0.416405257,,,,,,,,,,,,-9.758438931,6.753422673,-1.130860796,50,6.225397202,6.913840824,-131.3970886,-7.36130573,-17.15724934,26.36318253,-20.30020711,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,b313af9c-62f2-11ea-bc5a-d43b046e0121
12,3/10/2020,1:15:33 PM,1,4,"Porcello, Rick",519144,Right,NYM,"Straw, Myles",664702,Right,HOU,Undefined,1,Bottom,0,1,2,Undefined,ChangeUp,InPlay,Undefined,GroundBall,Single,0,0,,81.22309561,-2.355475246,-2.459721108,1520.187125,229.604643,1:45,6.390580254,1.27614567,6.351259105,-30.10806045,11.43980989,13.48984619,1.710535404,0.135149666,74.64662994,-8.022729879,0.100081474,0.463922998,90.65180897,0.089757665,-27.06580231,3126.524531,,,,37.53636658,34.09984965,-27.40201689,0.284855347,-8.08765232,6.934666041,-1.104368811,50,6.205531594,4.708640062,-118.1243003,-5.679345593,-11.41920897,22.64782462,-22.38277693,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,bc0658d4-62f2-11ea-bc5a-d43b046e0121
13,3/10/2020,1:16:41 PM,2,1,"Porcello, Rick",519144,Right,NYM,"Altuve, Jose",514888,Right,HOU,Undefined,1,Bottom,0,0,0,Undefined,Fastball,InPlay,Undefined,GroundBall,Out,2,0,,89.953675,-2.513752164,-2.440567739,2256.728748,236.7890401,2:00,6.494562562,1.151470488,6.311716419,-22.6935912,11.27584851,17.27289825,2.284620547,0.341703162,82.34507541,-6.793110655,0.837019038,0.419484299,98.90648405,-2.877854795,-12.82605438,,,,,30.15526856,28.30603117,-12.46168357,0.200415649,-10.15440793,6.890500254,-0.981327669,50,6.299626452,5.052512368,-130.7900519,-6.432880281,-17.55620998,28.06640213,-20.26089024,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,e8b55aff-62f2-11ea-bc5a-d43b046e0121
14,3/10/2020,1:17:25 PM,3,1,"Porcello, Rick",519144,Right,NYM,"Bregman, Alex",608324,Right,HOU,Undefined,1,Bottom,2,0,0,Undefined,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.93188306,-3.477737899,-2.491487654,2170.888246,199.8754776,12:45,6.450185179,1.240775404,6.62459399,-15.7610539,17.14776675,6.210291034,1.945751569,-0.524247215,83.1245608,-6.465933906,-1.306847509,0.412883643,,,,,,,,,,,,-4.151439463,10.49502626,-1.074783811,50,6.207923065,5.572856247,-132.1539887,-8.489269079,-7.324279815,28.78852903,-13.65793875,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,02df55de-62f3-11ea-bc5a-d43b046e0121
15,3/10/2020,1:17:43 PM,3,2,"Porcello, Rick",519144,Right,NYM,"Bregman, Alex",608324,Right,HOU,Undefined,1,Bottom,2,0,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.12939905,-2.950375984,-1.77056512,2240.662314,240.2458473,2:00,6.412826678,1.391667303,6.318347548,-23.66602967,9.981029018,17.51558315,1.719936671,1.220256622,83.09542834,-7.390904486,1.544565774,0.417489033,,,,,,,,,,,,-10.05618254,6.248523249,-1.270895014,50,6.18582292,3.520316256,-131.1037959,-7.479535293,-17.57322707,26.6707127,-21.25472431,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,0c8e4dc5-62f3-11ea-bc5a-d43b046e0121
16,3/10/2020,1:18:01 PM,3,3,"Porcello, Rick",519144,Right,NYM,"Bregman, Alex",608324,Right,HOU,Undefined,1,Bottom,2,1,1,Undefined,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,81.63117495,-2.81960857,-2.398900736,1445.296289,241.2506237,2:00,6.566288659,1.197590603,6.358683796,-32.38065083,8.865330616,16.2304703,1.268918477,0.341366626,74.98887239,-8.908220405,0.685788611,0.462234481,,,,,,,,,,,,-9.600298838,5.679184282,-1.031792884,50,6.346922609,4.530866826,-118.6615147,-6.727659618,-13.64187507,23.42263753,-24.10401618,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,1580f862-62f3-11ea-bc5a-d43b046e0121
17,3/10/2020,1:18:20 PM,3,4,"Porcello, Rick",519144,Right,NYM,"Bregman, Alex",608324,Right,HOU,Undefined,1,Bottom,2,2,1,Undefined,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.6734643,-2.961404817,-2.198913361,2237.369119,238.9625962,2:00,6.424409287,1.20371872,6.310991029,-24.90805085,9.255347092,15.43411117,1.616740596,0.463625698,82.30917609,-7.645887619,0.728396913,0.420680177,,,,,,,,,,,,-9.069075236,5.899829971,-1.050360382,50,6.195570084,4.540264497,-130.3650004,-7.500097086,-15.59520807,27.60184947,-22.02868383,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,1e73a0ad-62f3-11ea-bc5a-d43b046e0121
18,3/10/2020,1:18:43 PM,3,5,"Porcello, Rick",519144,Right,NYM,"Bregman, Alex",608324,Right,HOU,Undefined,1,Bottom,2,2,2,Undefined,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,90.93814021,-2.962303823,-3.54312988,2291.605001,241.686537,2:00,6.495675014,1.47050814,6.373830641,-24.1066711,9.000744182,16.76456944,1.753997729,-0.396062826,83.63210054,-7.498338946,-0.36884254,0.414127582,,,,,,,,,,,,-10.15073228,5.737181979,-1.222977511,50,6.270444653,7.671689996,-132.0911429,-7.577824697,-17.98656263,27.36869588,-22.00806446,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,3058f3e1-62f3-11ea-bc5a-d43b046e0121
19,3/10/2020,1:21:13 PM,1,1,"Valdez, Framber",664285,Left,HOU,"Ramos, Wilson",467092,Right,NYM,Undefined,2,Top,0,0,0,Undefined,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,92.4336114,-2.178591612,1.60818593,2174.258209,116.3761621,10:00,5.87479189,-1.087361728,6.30114108,-25.41239304,6.546570611,-13.26236522,1.748401977,-0.710699228,85.1995875,-6.954129987,-0.900984011,0.406881424,,,,,,,,,,,,7.678980169,4.158529796,0.975960789,50,5.702661717,-3.362251761,-134.5471247,-5.916079065,14.13776937,28.00119785,-24.5177799,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,89d39354-62f3-11ea-bc5a-d43b046e0121
20,3/10/2020,1:21:36 PM,1,2,"Valdez, Framber",664285,Left,HOU,"Ramos, Wilson",467092,Right,NYM,Undefined,2,Top,0,0,1,Undefined,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.32371381,-1.745397651,2.871793315,2180.087537,94.41167717,9:15,5.939559579,-1.231760263,6.471037808,-30.77868599,1.167654783,-15.52402779,1.769462089,0.113778692,84.93056874,-7.555043164,-0.076908071,0.406801062,,,,,,,,,,,,9.335612638,1.122304451,1.036685093,50,5.802813097,-6.270500021,-134.3161497,-5.024708828,17.07645968,28.74116518,-30.12115846,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,92c63cc1-62f3-11ea-bc5a-d43b046e0121
21,3/10/2020,1:22:08 PM,1,3,"Valdez, Framber",664285,Left,HOU,"Ramos, Wilson",467092,Right,NYM,Undefined,2,Top,0,0,2,Undefined,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,80.46455202,1.840239062,0.088895563,3083.76276,309.6301065,4:15,5.981116876,-0.997944323,6.211028672,-54.77480163,-12.08047804,14.53870462,3.11526969,0.295645393,73.78291299,-8.490586642,2.848245285,0.470280084,78.07166261,-29.92930014,-17.96348872,,,,,5.042216808,4.448045566,-22.23909654,0.050482788,-7.918561333,-7.149449253,0.983998844,50,6.091412257,-0.581424313,-117.095833,2.256153765,-10.9197552,23.51145615,-42.03319246,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,ac174f7b-62f3-11ea-bc5a-d43b046e0121
22,3/10/2020,1:22:46 PM,2,1,"Valdez, Framber",664285,Left,HOU,"Smith, Dominic",642086,Left,NYM,Undefined,2,Top,1,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.30779064,-3.637175015,3.195788685,2250.788035,113.6740201,9:45,6.048910125,-1.079543593,6.313474953,-24.35716569,6.471157621,-14.82600135,0.659610569,0.631303946,86.98526927,-8.200529473,0.393372456,0.399619315,,,,,,,,,,,,8.956090805,4.504560333,0.853024787,50,5.7706397,-7.174854827,-136.9439799,-9.493008465,17.0875047,28.91227218,-23.57970784,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,bf838dc2-62f3-11ea-bc5a-d43b046e0121
23,3/10/2020,1:23:00 PM,2,2,"Valdez, Framber",664285,Left,HOU,"Smith, Dominic",642086,Left,NYM,Undefined,2,Top,1,1,0,Undefined,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.02360398,-1.462088891,2.720952683,2247.117689,123.9385475,10:15,5.95430907,-1.022340852,6.167722614,-25.0556422,6.656061064,-9.935189599,2.514231743,0.66451123,85.64641327,-6.166861658,0.848402343,0.405304385,,,,,,,,,,,,6.119457854,4.005213512,0.821622433,50,5.830701069,-6.1106571,-135.3422266,-4.269204311,11.41236365,28.03395441,-24.70460369,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,c8763731-62f3-11ea-bc5a-d43b046e0121
24,3/10/2020,1:23:17 PM,2,3,"Valdez, Framber",664285,Left,HOU,"Smith, Dominic",642086,Left,NYM,Undefined,2,Top,1,1,1,Undefined,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,86.87027992,0.012316267,0.951501532,1563.327106,86.76012254,9:00,6.058209338,-1.140212847,6.04199977,-37.3944163,-0.709096224,-11.91734757,2.953411076,-1.252411779,79.67413026,-7.015189819,-1.299624648,0.435930921,,,,,,,,,,,,6.734994898,-0.388186518,1.072632427,50,6.038949397,-1.733466958,-126.4705825,-1.124394674,10.88774805,26.24593434,-32.8015883,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,d168df86-62f3-11ea-bc5a-d43b046e0121
25,3/10/2020,1:23:34 PM,2,4,"Valdez, Framber",664285,Left,HOU,"Smith, Dominic",642086,Left,NYM,Undefined,2,Top,1,2,1,Undefined,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,94.3403595,-2.227954914,2.028902651,2158.74134,117.0515661,10:00,6.053276288,-0.898748146,6.198896679,-23.53671116,7.481291926,-14.70736172,2.033174902,-0.250920739,86.28362404,-6.660988177,-0.757913351,0.400846814,104.0545094,-4.897728959,25.04934792,,,,,21.89260284,19.77376257,22.83811307,0.140321655,8.606858123,4.720883053,0.753852542,50,5.873969756,-4.384032154,-137.201425,-6.103606342,16.35938558,31.16025929,-23.20088494,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,da5b8a39-62f3-11ea-bc5a-d43b046e0121
26,3/10/2020,1:24:13 PM,3,1,"Valdez, Framber",664285,Left,HOU,"Nunez, Eduardo",456488,Right,NYM,Undefined,2,Top,2,0,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.69561557,2.795458466,-0.269941786,2955.592748,309.5169888,4:15,5.932580497,-1.071059963,6.23645989,-58.47952121,-12.51081839,15.11527154,3.639712279,-0.060432559,70.88256036,-8.270776436,2.606344403,0.487980697,,,,,,,,,,,,-8.358783425,-7.713863764,1.083667632,50,6.111798093,0.134533866,-112.9659814,3.977400643,-10.68598261,22.63061944,-42.03555709,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,f5338704-62f3-11ea-bc5a-d43b046e0121
