Pitcher,TotalPitches,AutoPitchType,PitchTypeCount,AvgVelo
"Devenski, Chris",19,ChangeUp,8,83.15990238124999
"Devenski, Chris",19,Curveball,1,77.62616218
"Devenski, Chris",19,Fastball,7,94.65128481857143
"Devenski, Chris",19,Slider,3,82.78297577000001
"Garza, Ralph",3,Other,3,76.08147378333334
"Hughes, Jared",22,ChangeUp,4,84.8093007125
"Hughes, Jared",22,Fastball,1,94.25008581
"Hughes, Jared",22,Other,1,92.17368574
"Hughes, Jared",22,Sinker,12,92.12618511
"Hughes, Jared",22,Slider,4,83.82419404250001
"Ivey, Tyler",12,ChangeUp,1,80.6582897
"Ivey, Tyler",12,Curveball,4,74.5163309025
"Ivey, Tyler",12,Fastball,5,90.53616028
"Ivey, Tyler",12,Slider,2,83.93870115
"Javier, Cristian",29,ChangeUp,1,86.66260896
"Javier, Cristian",29,Curveball,7,76.62408941142859
"Javier, Cristian",29,Fastball,19,93.1967497136842
"Javier, Cristian",29,Other,1,79.55517745
"Javier, Cristian",29,Slider,1,80.45692531
"Payano, Pedro",30,ChangeUp,6,82.349931895
"Payano, Pedro",30,Curveball,2,77.43932352499999
"Payano, Pedro",30,Fastball,12,92.9080300625
"Payano, Pedro",30,Sinker,2,92.835064165
"Payano, Pedro",30,Slider,8,82.82637464
"Porcello, Rick",54,ChangeUp,8,80.869009765
"Porcello, Rick",54,Curveball,4,75.58690293000001
"Porcello, Rick",54,Fastball,36,88.88771483916668
"Porcello, Rick",54,Sinker,6,90.45544161
"Sewald, Paul",27,Fastball,16,91.41274027875
"Sewald, Paul",27,Other,1,78.48636627
"Sewald, Paul",27,Slider,10,82.912563904
"Shreve, Chasen",13,ChangeUp,5,83.451601762
"Shreve, Chasen",13,Fastball,4,91.368294745
"Shreve, Chasen",13,Slider,4,80.443503345
"Valdez, Framber",61,ChangeUp,4,87.146170415
"Valdez, Framber",61,Curveball,13,79.51358806076922
"Valdez, Framber",61,Fastball,11,92.97931585090909
"Valdez, Framber",61,Other,5,89.00352742800001
"Valdez, Framber",61,Sinker,24,92.84530875791667
"Valdez, Framber",61,Slider,4,81.1852447075
